mean,std,cv,amp,sen,mk_z,restrend,cyc_score,cyc_enrichment,cyc_period,has_break,break_t,break_dslope,break_gain,has_disturbance,recovery_fraction,recovery_slope,disturbance_magnitude,median_ndvi,minimum_ndvi,maximum_ndvi,temporal_variability,mk_p_value,mk_significant,trend_direction,rain_mean,rain_std,rain_ndvi_correlation,restrend_p_value,restrend_significant,cyclicity_periodic,breakpoint_index,breakpoint_significant,pre_breakpoint_level,post_breakpoint_minimum,recovery_status,recovery_duration
0.48954663,0.07880666,0.16097887,0.23515555,0.0002895069,0.49196896,0.0007028131,0.60714954,1.5612416,7.2,1.0,0.8611111,-0.050847724,0.116761915,1.0,0.0,0.0,0.07622104,0.48785288631916046,0.32374876737594604,0.680099368095398,0.07880666254503021,0.622741277379536,False,1.0,1544.6410522460938,224.50675940512755,0.9095661079575681,0.1983695710627693,False,True,31,False,0.4876075790774438,0.3976573646068573,4,
0.43248385,0.07449723,0.17225437,0.24072704,0.0002916705,0.17707163,0.0007981308,0.52159363,1.3412408,7.2,1.0,0.8611111,-0.04432595,0.11127076,0.0,0.0,0.0,0.0,0.42637695372104645,0.29625338315963745,0.6247783899307251,0.07449723263588982,0.8594521306883358,False,1.0,1551.5331319173176,223.70081299373638,0.9301856423450687,0.07693979934846684,False,True,31,False,0.42850583887869315,0.34932059049606323,0,
0.44845062,0.084598154,0.18864541,0.22922188,-0.00040059537,-0.3541761,0.00072750356,0.489769,1.2594061,7.2,1.0,0.8611111,-0.06104236,0.17294951,0.0,0.0,0.0,0.0,0.4573241025209427,0.23073334991931915,0.691041111946106,0.08459815257023662,0.7232069107388606,False,-1.0,1569.1691792805989,226.7213104557176,0.9227331129901004,0.18074816799169602,False,True,31,False,0.44284823584941124,0.36172914505004883,0,
0.5111772,0.07768394,0.15197067,0.24711809,0.0012145244,1.7694945,0.0014271486,0.54843646,1.4102652,7.2,1.0,0.8055556,-0.02623598,0.16264832,0.0,0.0,0.0,0.0,0.4980010986328125,0.3500831723213196,0.6831392645835876,0.07768393825585673,0.07681138438849144,False,1.0,1570.8453267415364,226.7373743546714,0.8758609517952202,0.018803314695683637,True,True,29,False,0.49970534443855286,0.4064669907093048,0,
0.5001767,0.07454651,0.14904034,0.2264174,-0.0012951901,-4.5694346,-0.0011256936,0.5568431,1.4318823,7.2,1.0,0.8611111,-0.04832845,0.14111303,1.0,0.0,0.0,0.054071307,0.4877594858407974,0.36145907640457153,0.6423376202583313,0.07454650582335373,4.890416941849551e-06,True,-1.0,1574.8252970377605,228.17271584618,0.8819420681082812,0.05096693321604007,False,True,31,False,0.5002729296684265,0.3996565341949463,4,
0.5035837,0.12630044,0.25080326,0.38423896,-0.0100057935,-2.8390589,-0.009910162,0.2239497,0.57587063,7.2,1.0,0.5277778,-0.019479856,0.70342964,1.0,0.0,0.0,0.4041057,0.5420680344104767,0.22169595956802368,0.6669598817825317,0.12630043959640921,0.004524679252439823,True,-1.0,1609.5677829318577,232.7685075605325,0.3564173059466373,9.46243083888021e-12,True,True,19,True,0.6042970387559188,0.22169595956802368,4,
0.48932824,0.14004816,0.28620493,0.39574105,0.012238372,4.954394,0.012574928,0.6223562,1.6003444,7.2,1.0,0.6111111,0.0060649654,0.37069097,0.0,0.0,0.0,0.0,0.46702127158641815,0.2651013433933258,0.7567458748817444,0.14004815675736035,7.255607126221975e-07,True,1.0,1612.1365729437935,233.7655815564525,0.21953615399643525,0.0,True,True,22,True,0.3894746398383921,0.5521284937858582,0,
0.5722184,0.051534925,0.090061635,0.1451123,-0.0028821921,-3.7185042,-0.0031490733,0.46599203,1.1982652,7.2,1.0,0.2777778,-0.005408024,0.24879423,1.0,0.0,0.0,0.17348053,0.5853856205940247,0.41720664501190186,0.6472277641296387,0.05153492327524459,0.0002004060417506448,True,-1.0,1611.789991590712,233.09317806867674,0.47015397084366944,1.164580617496469e-06,True,True,10,False,0.5963013947010041,0.41720664501190186,4,
0.42614773,0.07878313,0.18487282,0.2617153,-0.00052118464,-0.55845666,-0.00023443004,0.545645,1.4030871,7.2,1.0,0.5277778,0.0021517589,0.12845154,1.0,0.8698437,0.004598331,0.24665001,0.43701325356960297,0.233658567070961,0.6067390441894531,0.07878313266289826,0.5765325919333777,False,-1.0,1614.77099609375,233.96017784335498,0.910788108641288,0.6693105316580572,False,True,19,False,0.44363830591502945,0.233658567070961,1,2.0
0.575271,0.12983324,0.22569057,0.4058801,-0.011416112,-4.7428246,-0.011107827,0.34389266,0.8842954,7.2,1.0,0.5277778,-0.010619877,0.3991892,1.0,0.0,0.0,0.32316476,0.6043200790882111,0.31563037633895874,0.7476364970207214,0.12983324184460313,2.107587042443626e-06,True,-1.0,1616.2105882432725,233.7361107176338,0.29583337620622624,6.661338147750939e-16,True,True,19,True,0.6818515093703019,0.31563037633895874,4,
